dataset,regime,model,baseline,alpha,gamma,worst_group_tail,worst_group_tail_std,baseline_worst_group_tail,margin,margin_pct
adult,infeasible,fedavot_cvar,fedavot,0.4,0.9,0.360409,0.00286946,0.361572,0.0011628,0.321596
adult,infeasible,fedavot_cvar,fedavot,0.6,0.5,0.360417,0.00316358,0.361572,0.0011546,0.319328
adult,infeasible,fedavot_cvar,fedavot,0.7,0.8,0.360425,0.00320296,0.361572,0.0011468,0.317171
adult,infeasible,fedavot_cvar,fedavot,0.9,0.7,0.360447,0.00291834,0.361572,0.0011246,0.311031
adult,infeasible,fedavot_cvar,fedavot,0.6,0.3,0.360472,0.00323958,0.361572,0.0011,0.304227
adult,infeasible,fedavot_cvar,fedavot,0.4,0.7,0.360501,0.00263892,0.361572,0.0010708,0.296151
adult,infeasible,fedavot_cvar,fedavot,0.6,0.6,0.360593,0.00317703,0.361572,0.0009792,0.270817
adult,infeasible,fedavot_cvar,fedavot,0.6,0.2,0.360654,0.00312406,0.361572,0.0009182,0.253947
adult,infeasible,fedavot_cvar,fedavot,0.8,0.8,0.360675,0.00298396,0.361572,0.0008968,0.248028
adult,infeasible,fedavot_cvar,fedavot,0.9,0.8,0.3608,0.00295123,0.361572,0.000772,0.213512
adult,infeasible,fedavot_cvar,fedavot,0.6,0.7,0.360805,0.00312905,0.361572,0.0007674,0.21224
adult,infeasible,fedavot_cvar,fedavot,0.7,0.9,0.360906,0.00308238,0.361572,0.0006662,0.184251
adult,infeasible,fedavot_cvar,fedavot,0.3,0.5,0.360963,0.0020722,0.361572,0.0006094,0.168542
adult,infeasible,fedavot_cvar,fedavot,0.6,0.1,0.361036,0.00316843,0.361572,0.000536,0.148242
adult,infeasible,fedavot_cvar,fedavot,0.6,0.8,0.361071,0.00301976,0.361572,0.0005006,0.138451
adult,infeasible,fedavot_cvar,fedavot,0.8,0.9,0.36109,0.00297194,0.361572,0.0004822,0.133362
adult,infeasible,fedavot_cvar,fedavot,0.1,0.6,0.361107,0.00202948,0.361572,0.0004648,0.12855
adult,infeasible,fedavot_cvar,fedavot,0.4,0.6,0.36114,0.0025815,0.361572,0.0004318,0.119423
adult,infeasible,fedavot_cvar,fedavot,0.5,0.8,0.361158,0.00285576,0.361572,0.0004138,0.114445
adult,infeasible,fedavot_cvar,fedavot,0.9,0.9,0.361188,0.0029691,0.361572,0.000384,0.106203
adult,infeasible,fedavot_cvar,fedavot,0.5,0.9,0.361191,0.00289978,0.361572,0.000381,0.105373
adult,infeasible,fedavot_cvar,fedavot,0.5,0.7,0.361321,0.00282395,0.361572,0.0002506,0.0693085
adult,infeasible,fedavot_cvar,fedavot,0.6,0.9,0.361347,0.00299083,0.361572,0.0002248,0.062173
adult,infeasible,fedavot_cvar,fedavot,0.5,0.5,0.361456,0.0028042,0.361572,0.000116,0.0320821
adult,infeasible,fedavot_cvar,fedavot,0.5,0.6,0.361469,0.00282759,0.361572,0.0001032,0.028542
adult,infeasible,fedcvar,fedavg,0.1,0.7,0.383801,0.00221988,0.390741,0.0069396,1.77601
adult,infeasible,fedcvar,fedavg,0.1,0.6,0.384231,0.00229158,0.390741,0.0065092,1.66586
adult,infeasible,fedcvar,fedavg,0.1,0.8,0.384386,0.00214013,0.390741,0.0063548,1.62635
adult,infeasible,fedcvar,fedavg,0.1,0.5,0.385063,0.00224359,0.390741,0.0056772,1.45293
adult,infeasible,fedcvar,fedavg,0.2,0.6,0.385142,0.00227953,0.390741,0.0055988,1.43287
adult,infeasible,fedcvar,fedavg,0.2,0.7,0.385166,0.00226645,0.390741,0.0055746,1.42668
adult,infeasible,fedcvar,fedavg,0.2,0.5,0.38546,0.00241266,0.390741,0.0052808,1.35148
adult,infeasible,fedcvar,fedavg,0.2,0.8,0.385892,0.00215382,0.390741,0.0048488,1.24093
adult,infeasible,fedcvar,fedavg,0.1,0.4,0.386222,0.00257548,0.390741,0.0045188,1.15647
adult,infeasible,fedcvar,fedavg,0.1,0.9,0.386222,0.00220239,0.390741,0.0045186,1.15642
adult,infeasible,fedcvar,fedavg,0.2,0.4,0.386267,0.00261733,0.390741,0.0044738,1.14495
adult,infeasible,fedcvar,fedavg,0.3,0.6,0.387068,0.00207504,0.390741,0.003673,0.94001
adult,infeasible,fedcvar,fedavg,0.2,0.3,0.38716,0.00266115,0.390741,0.0035806,0.916362
adult,infeasible,fedcvar,fedavg,0.3,0.7,0.387207,0.00196392,0.390741,0.0035338,0.904385
adult,infeasible,fedcvar,fedavg,0.3,0.5,0.387334,0.00226848,0.390741,0.0034062,0.871729
adult,infeasible,fedcvar,fedavg,0.1,0.3,0.387442,0.00253121,0.390741,0.0032982,0.844089
adult,infeasible,fedcvar,fedavg,0.3,0.4,0.387555,0.00253177,0.390741,0.0031854,0.815221
adult,infeasible,fedcvar,fedavg,0.2,0.9,0.387564,0.0021468,0.390741,0.0031766,0.812969
adult,infeasible,fedcvar,fedavg,0.3,0.8,0.387696,0.00192125,0.390741,0.0030444,0.779136
adult,infeasible,fedcvar,fedavg,0.3,0.3,0.387964,0.00276229,0.390741,0.0027762,0.710497
adult,infeasible,fedcvar,fedavg,0.2,0.2,0.388017,0.00288471,0.390741,0.002724,0.697138
adult,infeasible,fedcvar,fedavg,0.8,0.1,0.388131,0.00235972,0.390741,0.0026098,0.667911
adult,infeasible,fedcvar,fedavg,0.7,0.1,0.388215,0.00224336,0.390741,0.0025254,0.646311
adult,infeasible,fedcvar,fedavg,0.8,0.2,0.388255,0.00238553,0.390741,0.0024858,0.636177
adult,infeasible,fedcvar,fedavg,0.7,0.2,0.388256,0.00219094,0.390741,0.0024846,0.635869
adult,infeasible,fedcvar,fedavg,0.3,0.2,0.388332,0.00287503,0.390741,0.0024084,0.616368
adult,infeasible,fedcvar,fedavg,0.7,0.3,0.388387,0.00218761,0.390741,0.002354,0.602446
adult,infeasible,fedcvar,fedavg,0.8,0.3,0.388429,0.00238692,0.390741,0.0023116,0.591595
adult,infeasible,fedcvar,fedavg,0.4,0.6,0.388492,0.00216532,0.390741,0.002249,0.575574
