round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
1300,0.20893,0.222672,0.224268,0.20913,0.208428
1310,0.208821,0.222763,0.224478,0.209033,0.208378
1320,0.208801,0.222048,0.223848,0.208966,0.208329
1330,0.208945,0.221608,0.223434,0.209152,0.208281
1340,0.208984,0.221979,0.223772,0.209207,0.208233
1350,0.208835,0.221904,0.223724,0.209078,0.208186
1360,0.208736,0.222581,0.224443,0.209056,0.20814
1370,0.208827,0.222185,0.224066,0.209077,0.208094
1380,0.208685,0.222507,0.224231,0.208937,0.208049
1390,0.20879,0.223488,0.225265,0.209075,0.208005
1400,0.208364,0.222209,0.22395,0.20852,0.207961
1410,0.208458,0.222039,0.223807,0.20859,0.207917
1420,0.208716,0.223036,0.224932,0.209037,0.207875
1430,0.208533,0.222745,0.224471,0.208839,0.207833
1440,0.208581,0.22247,0.224239,0.208894,0.207791
1450,0.208419,0.221621,0.223362,0.208633,0.20775
1460,0.20876,0.22187,0.223607,0.208969,0.207709
1470,0.208528,0.220491,0.222138,0.20868,0.207669
1480,0.208576,0.219456,0.221128,0.208684,0.20763
1490,0.208432,0.219572,0.22129,0.208522,0.207591
1500,0.208431,0.220583,0.222417,0.208514,0.207552
1510,0.208436,0.220748,0.222402,0.208589,0.207514
1520,0.208452,0.221105,0.223046,0.20861,0.207476
1530,0.208587,0.22144,0.22327,0.208804,0.207439
1540,0.208418,0.221678,0.223278,0.208605,0.207402
1550,0.208421,0.221357,0.222887,0.208599,0.207366
1560,0.20825,0.221447,0.223229,0.208475,0.20733
1570,0.207913,0.221298,0.223113,0.208091,0.207295
1580,0.208142,0.222978,0.224952,0.208412,0.20726
1590,0.208516,0.221746,0.223409,0.20878,0.207225
1600,0.208342,0.221698,0.223494,0.208632,0.207191
1610,0.208464,0.22259,0.224251,0.208704,0.207157
1620,0.20788,0.221571,0.223433,0.208153,0.207124
1630,0.20778,0.222,0.223814,0.208096,0.207091
1640,0.207782,0.223273,0.225001,0.208207,0.207058
1650,0.207733,0.22221,0.223822,0.208123,0.207026
1660,0.208128,0.223538,0.225099,0.20856,0.206994
1670,0.208158,0.222208,0.223822,0.208505,0.206962
1680,0.207533,0.220588,0.222221,0.207776,0.206931
1690,0.208,0.221733,0.223534,0.208342,0.2069
1700,0.207663,0.220878,0.222517,0.207882,0.206869
1710,0.207354,0.220097,0.221616,0.207536,0.206839
1720,0.207422,0.219634,0.221315,0.207571,0.206809
1730,0.207538,0.220554,0.222229,0.207791,0.206779
1740,0.207451,0.220002,0.221839,0.207702,0.20675
1750,0.207354,0.220286,0.221944,0.207553,0.206721
1760,0.207359,0.220122,0.221721,0.207578,0.206692
1770,0.207366,0.219269,0.221002,0.20754,0.206664
1780,0.207421,0.220148,0.222028,0.207637,0.206636
1790,0.207753,0.221865,0.223666,0.208045,0.206608
1800,0.20731,0.219918,0.22176,0.207575,0.20658
1810,0.207234,0.219381,0.221114,0.20745,0.206553
1820,0.207247,0.219135,0.220845,0.207459,0.206526
1830,0.207202,0.219417,0.221081,0.207402,0.206499
1840,0.207252,0.21972,0.221373,0.207471,0.206472
1850,0.20727,0.21992,0.221517,0.207432,0.206446
1860,0.207075,0.219831,0.221557,0.207259,0.20642
1870,0.206965,0.219347,0.220966,0.207069,0.206394
1880,0.206989,0.218978,0.220648,0.207114,0.206369
1890,0.206906,0.220798,0.222604,0.207049,0.206344
1900,0.206955,0.22046,0.222213,0.207163,0.206319
1910,0.207017,0.221406,0.223386,0.207254,0.206294
1920,0.207061,0.221196,0.222891,0.207382,0.206269
1930,0.206854,0.219722,0.221294,0.207094,0.206245
1940,0.2068,0.219338,0.220877,0.207038,0.206221
1950,0.206914,0.221582,0.223239,0.20721,0.206197
1960,0.206995,0.221574,0.223163,0.207305,0.206173
1970,0.206925,0.221901,0.223596,0.207237,0.20615
1980,0.206991,0.22175,0.22358,0.207348,0.206126
1990,0.206959,0.22232,0.224169,0.207299,0.206103
2000,0.206823,0.220492,0.222058,0.207115,0.206081
2010,0.206743,0.22062,0.222553,0.207065,0.206058
2020,0.206759,0.22042,0.222172,0.207078,0.206035
2030,0.206823,0.220177,0.22152,0.20706,0.206013
2040,0.206396,0.219796,0.221335,0.206633,0.205991
2050,0.206444,0.219769,0.22159,0.206687,0.205969
2060,0.206667,0.22074,0.222395,0.206958,0.205948
2070,0.206681,0.22104,0.223004,0.206972,0.205926
2080,0.206582,0.220306,0.221907,0.20682,0.205905
2090,0.206645,0.220786,0.222422,0.207037,0.205884
2100,0.206502,0.220055,0.221718,0.206856,0.205863
2110,0.206423,0.219272,0.220512,0.206672,0.205842
2120,0.206539,0.219455,0.220769,0.206815,0.205821
2130,0.206564,0.219436,0.220706,0.206831,0.205801
2140,0.207061,0.220885,0.222432,0.207464,0.205781
2150,0.206746,0.219521,0.220969,0.207082,0.20576
2160,0.206545,0.220163,0.221795,0.206824,0.20574
2170,0.206547,0.219876,0.221403,0.206747,0.205721
2180,0.206229,0.218472,0.219957,0.206348,0.205701
2190,0.206978,0.220279,0.221949,0.207288,0.205681
